Task No.,Day,Date,Task Name / Details,What To Do (Daily Task),Learning Outcome,Resources (Trailhead Link),Status,Comments / Noted,Tasks Assigned By,Assessment / Links,Query
1,Day 1,2025-11-02,Trailhead Basics,Complete “Trailhead Basics” module and quiz,"Learn Trailhead navigation, badges, playground",Trailhead Basics,Done,,Rubel Vai,Assessment,
2,Day 1,2025-11-02,Salesforce Customer 360,Study Customer 360 videos and quizzes,Understand Salesforce’s unified customer view,Customer 360,Done,,Rubel Vai,,
3,Day 1,2025-11-02,Salesforce Quick Look,"Overview of CRM, platform, and use cases",Explain Salesforce’s purpose & business value,Salesforce Quick Look,Done,,Rubel Vai,,
4,Day 2,2025-11-02,Lightning Experience Basics,"Learn navigation, Lightning components, app setup",Get comfortable using Lightning UI,Lightning Experience Basics,Done,50,Rubel Vai,,
5,Day 2,2025-11-02,Starting with Force.com,"Explore custom objects, fields, and schema",Understand Salesforce platform architecture,Force.com Basics,Done,,Rubel Vai,,
6,Day 2,2025-11-02,Sales Cloud Configuration Basics,Follow lead → opportunity → account process,Learn how Salesforce supports the sales pipeline,Sales Cloud Basics,Done,,Rubel Vai,,
7,Day 3,2025-11-02,AppExchange Basics,Study app installation and management,Learn to extend Salesforce via AppExchange,AppExchange Basics,Done,,Rubel Vai,,
8,Day 3,2025-11-02,Accounts & Contacts in Lightning,Study data relationships and record hierarchy,Understand core CRM data structure,Accounts & Contacts,Done,,Rubel Vai,,
9,Day 3,2025-11-02,Trailhead Playground Management,"Learn to create, reset, and manage Playgrounds",Confidently manage your practice org,Playground Management,Done,,Rubel Vai,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
